gene_id	gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G52390	NA	1819.07007170896	-3.92542368924553	0.102712140703561	-37.5865750969835	0	0
AT1G76930	NA	25307.1334644736	1.68420674357961	0.0450013855387231	37.4235227135371	1.61964785403027e-306	1.68888779979006e-302
AT3G22840	ELIP;ELIP1:EARLY LIGHT-INDUCABLE PROTEIN	2023.62392387798	3.06762952801412	0.0885002009910673	34.493858231671	9.91620293503758e-261	6.89341374034029e-257
AT5G38940	NA	1893.37839507763	3.07275820558554	0.0932926424368442	32.766079157707	1.79214053565761e-235	9.34377271778485e-232
AT3G55120	NA	1501.27520278624	3.56035322783723	0.111277360237528	31.6333377488927	1.28544767232723e-219	5.36160224127686e-216
AT4G15160	NA	156309.806881803	-1.43899475874066	0.0466622126597779	-30.8383021868037	8.03852760098712e-209	2.79405821864311e-205
AT3G32980	NA	65462.7488892564	-1.38017320721294	0.0470460607722592	-29.336125732126	3.59188239244575e-189	1.0701243899208e-185
AT1G77760	GNR1;NIA1:nitrate reductase 1;NR1:NITRATE REDUCTASE 1	27446.671512435	-1.37718449537438	0.0471549937434826	-29.2042983002168	1.71021050807812e-187	4.45830501824614e-184
AT3G21560	BRT1:Bright Trichomes 1;UGT84A2:UDP-glucosyl transferase 84A2	4615.67635759293	1.67862261979772	0.0598894682699217	28.0191409492444	9.4985803387534e-173	2.20103214405225e-169
AT2G19990	PR-1-LIKE:pathogenesis-related protein-1-like	4201.71744955335	-1.92002479338556	0.0701726853428368	-27.3436458836268	1.28513218562814e-164	2.68014317312748e-161
AT1G71880	NA	1547.59918199307	2.64026124017387	0.0967383726555717	27.1880593385165	8.99048989259354e-163	1.70451515190944e-159
AT5G08640	ATFLS1;FLS:FLAVONOL SYNTHASE;FLS1:flavonol synthase 1	744.598595194436	4.66014563109387	0.161298207496237	26.4595701933387	2.83160690362189e-154	4.92109683125288e-151
AT1G71380	ATCEL3:cellulase 3;ATGH9B3:ARABIDOPSIS THALIANA GLYCOSYL HYDROLASE 9B3;CEL3:cellulase 3	6786.32672160174	-1.38663068448061	0.0528534349088662	-26.2305557537503	1.19143322919707e-151	1.91133384576191e-148
AT4G11650	NA	53000.064726168	-1.00396617478434	0.0393197077120344	-25.5331267221439	8.45431695815457e-144	1.25939128687367e-140
AT4G36220	NA	3245.3813072608	-2.03626178978876	0.079805584435885	-25.4906994130761	2.49965291733633e-143	3.47535077273661e-140
AT5G13930	ATCHS;CHS:CHALCONE SYNTHASE;TT4:TRANSPARENT TESTA 4	8731.99438957863	4.10393319017763	0.164845062983772	24.8491444930322	2.64151857870158e-136	3.44305437242634e-133
AT2G19970	NA	6223.9014611224	-1.5419376084462	0.0630770521532347	-24.4390935775076	6.57281429234244e-132	8.0632965921648e-129
AT2G18980	NA	7295.61870939649	-1.52460676414544	0.0634311184066115	-24.0306168091145	1.33134587970058e-127	1.54251212895309e-124
AT3G45010	NA	7168.61695212447	-1.61506689593539	0.0698188074693049	-23.1266956436934	2.49521593572065e-118	2.73882780733969e-115
AT1G69530	AT-EXP1;ATEXP1;ATEXPA1:expansin A1;ATHEXP ALPHA 1.2;EXP1:EXPANSIN 1;EXPA1:expansin A1	11776.1583134652	-1.21283512941537	0.0524912012543778	-23.1037270233039	4.24732664562353e-118	4.42889985972393e-115
AT3G47340	NA	661.523049116741	3.6136563729443	0.153507575008971	22.8519135515469	1.39874743033526e-115	1.3890894123639e-112
AT5G59810	ATSBT5.4;SBT5.4	1247.12137614351	-2.33863280530508	0.102438290459613	-22.7384157942444	1.86853027704806e-114	1.77128176944715e-111
AT1G12080	NA	3214.11078794207	-1.52141655784969	0.0679739590926417	-22.3713114382471	7.49022338872994e-111	6.79167864225926e-108
AT1G67750	NA	2019.53350168815	-1.87477505546432	0.0840615942565106	-22.2730945970551	6.73833108445711e-110	5.85532894859804e-107
AT5G60530	NA	3920.30562670759	-1.79019058400504	0.0814040990481001	-21.9788289998503	4.5915255423368e-107	3.83025060741736e-104
AT5G48540	NA	3053.25614762693	-1.47221297467538	0.0694691024745256	-21.182201099761	1.39366007220245e-99	1.11787618483777e-96
